Model,RMSD,MCQ,TM-score
rhofold_rp32.pdb,2.283,45.02,0.483
vfoldpipeline_rp32.pdb,6.183,21.01,0.349
trrosettarna_rp32_2.pdb,6.313,38.55,0.25
trrosettarna_rp32_1.pdb,6.362,31.44,0.276
trrosettarna_rp32_3.pdb,6.427,31.26,0.274
rnacomposer_rp32.pdb,7.18,25.45,0.238
3drna_rp32_2.pdb,7.585,32.6,0.289
3drna_rp32_5.pdb,7.66,32.86,0.272
trrosettarna_rp32_5.pdb,8.926,41.61,0.234
eprna_rp32.pdb,10.429,92.24,0.141
trrosettarna_rp32_4.pdb,11.766,63.41,0.12
3drna_rp32_1.pdb,12.805,33.62,0.223
isrna_rp32.pdb,13.137,26.05,0.249
3drna_rp32_4.pdb,15.501,32.14,0.257
3drna_rp32_3.pdb,15.815,35.63,0.219
mcsym_rp32_3.pdb,21.961,35.16,0.242
vfold_rp32.pdb,22.167,31.0,0.282
mcsym_rp32_2.pdb,23.298,37.4,0.226
mcsym_rp32_5.pdb,25.746,39.45,0.275
mcsym_rp32_4.pdb,27.834,37.24,0.25
mcsym_rp32_1.pdb,27.851,37.02,0.262
best_rp32_70.pdb,,,0.345
best_rp32_61.pdb,,,0.191
best_rp32_40.pdb,,,0.22
best_rp32_56.pdb,,,0.247
best_rp32_7.pdb,,,0.287
best_rp32_48.pdb,,,0.211
best_rp32_89.pdb,,,0.247
best_rp32_90.pdb,,,0.133
best_rp32_54.pdb,,,0.263
best_rp32_5.pdb,,,0.204
best_rp32_57.pdb,,,0.302
best_rp32_95.pdb,,,0.229
best_rp32_99.pdb,,,0.2
best_rp32_77.pdb,,,0.22
best_rp32_3.pdb,,,0.188
best_rp32_45.pdb,,,0.212
best_rp32_86.pdb,,,0.224
best_rp32_36.pdb,,,0.236
best_rp32_97.pdb,,,0.208
best_rp32_32.pdb,,,0.272
best_rp32_34.pdb,,,0.282
best_rp32_38.pdb,,,0.299
best_rp32_71.pdb,,,0.201
best_rp32_98.pdb,,,0.247
best_rp32_14.pdb,,,0.181
best_rp32_10.pdb,,,0.258
best_rp32_9.pdb,,,0.217
best_rp32_73.pdb,,,0.234
best_rp32_87.pdb,,,0.285
best_rp32_92.pdb,,,0.274
best_rp32_39.pdb,,,0.247
best_rp32_81.pdb,,,0.263
best_rp32_53.pdb,,,0.27
best_rp32_28.pdb,,,0.207
best_rp32_25.pdb,,,0.252
best_rp32_104.pdb,,,0.276
best_rp32_19.pdb,,,0.232
best_rp32_88.pdb,,,0.141
best_rp32_47.pdb,,,0.231
alphafold3_rp32_5.pdb,,,0.266
best_rp32_51.pdb,,,0.163
best_rp32_67.pdb,,,0.27
best_rp32_49.pdb,,,0.274
best_rp32_102.pdb,,,0.236
best_rp32_4.pdb,,,0.287
best_rp32_35.pdb,,,0.245
best_rp32_64.pdb,,,0.258
best_rp32_62.pdb,,,0.264
best_rp32_59.pdb,,,0.346
best_rp32_16.pdb,,,0.306
best_rp32_2.pdb,,,0.252
best_rp32_30.pdb,,,0.337
best_rp32_15.pdb,,,0.199
best_rp32_96.pdb,,,0.263
alphafold3_rp32_3.pdb,,,0.246
best_rp32_101.pdb,,,0.225
best_rp32_76.pdb,,,0.214
best_rp32_21.pdb,,,0.255
best_rp32_60.pdb,,,0.298
best_rp32_84.pdb,,,0.227
best_rp32_6.pdb,,,0.244
best_rp32_68.pdb,,,0.288
best_rp32_65.pdb,,,0.247
best_rp32_26.pdb,,,0.211
best_rp32_105.pdb,,,0.199
best_rp32_11.pdb,,,0.232
best_rp32_94.pdb,,,0.206
best_rp32_43.pdb,,,0.268
alphafold3_rp32_1.pdb,,,0.238
best_rp32_20.pdb,,,0.239
best_rp32_41.pdb,,,0.287
alphafold3_rp32_2.pdb,,,0.259
best_rp32_33.pdb,,,0.262
best_rp32_80.pdb,,,0.282
best_rp32_55.pdb,,,0.236
best_rp32_63.pdb,,,0.221
best_rp32_17.pdb,,,0.181
best_rp32_31.pdb,,,0.277
best_rp32_85.pdb,,,0.263
best_rp32_42.pdb,,,0.193
best_rp32_69.pdb,,,0.296
best_rp32_23.pdb,,,0.3
best_rp32_37.pdb,,,0.244
alphafold3_rp32_4.pdb,,,0.253
best_rp32_79.pdb,,,0.286
best_rp32_46.pdb,,,0.328
best_rp32_66.pdb,,,0.353
best_rp32_100.pdb,,,0.264
best_rp32_75.pdb,,,0.259
best_rp32_72.pdb,,,0.251
best_rp32_1.pdb,,,0.262
best_rp32_74.pdb,,,0.242
best_rp32_24.pdb,,,0.236
best_rp32_50.pdb,,,0.231
best_rp32_91.pdb,,,0.287
best_rp32_27.pdb,,,0.317
best_rp32_44.pdb,,,0.252
simrna_rp32.pdb,,,0.071
best_rp32_103.pdb,,,0.255
best_rp32_8.pdb,,,0.235
best_rp32_29.pdb,,,0.229
best_rp32_106.pdb,,,0.353
best_rp32_52.pdb,,,0.268
best_rp32_82.pdb,,,0.133
best_rp32_58.pdb,,,0.247
best_rp32_22.pdb,,,0.262
rnajp_rp32.pdb,,,0.235
best_rp32_78.pdb,,,0.246
best_rp32_18.pdb,,,0.247
best_rp32_12.pdb,,,0.215
best_rp32_93.pdb,,,0.231
best_rp32_13.pdb,,,0.246
best_rp32_83.pdb,,,0.181
